,final segments,shuffled: mean of 5,shuffled: lowest,shuffled: highest,final minus shuffled mean
silhouette (mean),0.24045813586789463,0.21944068105964867,0.21689714738909532,0.22122726824012517,0.02101745480824596
Dunn index,0.0004317347276598858,0.051830661653676294,0.013616181598275004,0.06337321812208704,-0.05139892692601641
Dunn numerator (smallest gap),0.00238026917727141,0.3170366288000618,0.08242784002773218,0.3836387521082639,-0.31465635962279037
Dunn denominator (widest segment),5.513267811864675,6.1079155395905165,6.053641640372321,6.16433898860209,-0.5946477277258415
Davies-Bouldin,1.2976077278125682,1.3307738108963825,1.3251473537736804,1.3366478578294791,-0.0331660830838143
Calinski-Harabasz,7661.007181466441,6507.885298576481,6453.832900229372,6557.934770124097,1153.12188288996
