Ware_house_ID,kmeans_segment,ward_segment
WH_101586,2,2
WH_101587,1,1
WH_101588,2,2
WH_101599,2,2
WH_101608,3,1
WH_101613,3,3
WH_101622,2,1
WH_101629,2,2
WH_101636,4,4
WH_101641,4,4
WH_101647,1,1
WH_101652,1,1
WH_101657,1,1
WH_101663,3,3
WH_101682,4,3
WH_101685,1,1
WH_101690,1,2
WH_101695,4,3
WH_101700,4,4
WH_101701,1,1
WH_101705,4,4
WH_101719,4,3
WH_101738,2,2
WH_101748,4,4
WH_101755,3,4
WH_101756,3,1
WH_101758,4,4
WH_101781,1,1
WH_101783,2,2
WH_101784,4,4
WH_101791,4,4
WH_101806,3,1
WH_101816,1,3
WH_101823,4,3
WH_101825,4,4
WH_101836,2,2
WH_101838,4,3
WH_101840,1,1
WH_101847,2,2
WH_101850,1,1
WH_101851,3,2
WH_101861,1,1
WH_101863,4,4
WH_101871,4,3
WH_101876,3,3
WH_101880,4,3
WH_101887,3,1
WH_101897,2,2
WH_101899,2,2
WH_101903,3,1
WH_101904,1,1
WH_101908,2,2
WH_101909,3,3
WH_101913,4,4
WH_101920,3,3
WH_101925,4,4
WH_101926,1,1
WH_101929,2,2
WH_101931,2,1
WH_101932,4,4
WH_101938,1,4
WH_101955,4,3
WH_101956,4,3
WH_101957,4,4
WH_101963,4,4
WH_101967,1,1
WH_101971,3,2
WH_101976,4,4
WH_101977,1,4
WH_101983,4,3
WH_101995,2,2
WH_101997,4,3
WH_102000,3,3
WH_102002,4,3
WH_102003,2,2
WH_102005,4,4
WH_102006,2,2
WH_102009,4,4
WH_102011,3,1
WH_102035,4,4
WH_102037,2,2
WH_102038,1,1
WH_102045,2,2
WH_102049,3,3
WH_102055,2,2
WH_102065,4,3
WH_102069,3,1
WH_102071,4,2
WH_102072,2,1
WH_102075,3,1
WH_102076,2,2
WH_102078,1,1
WH_102081,4,3
WH_102082,4,3
WH_102083,3,3
WH_102087,4,4
WH_102088,4,4
WH_102092,3,3
WH_102096,2,2
WH_102104,4,4
WH_102110,1,1
WH_102116,4,3
WH_102118,4,3
WH_102119,2,2
WH_102123,1,1
WH_102126,4,3
WH_102129,2,2
WH_102136,3,1
WH_102140,2,2
WH_102147,2,2
WH_102148,4,3
WH_102151,1,4
WH_102163,2,2
WH_102164,2,2
WH_102165,4,4
WH_102171,3,1
WH_102176,4,4
WH_102179,3,3
WH_102180,2,2
WH_102190,3,1
WH_102191,4,4
WH_102194,1,1
WH_102199,2,2
WH_102201,4,4
WH_102216,4,4
WH_102222,4,4
WH_102223,2,2
WH_102224,3,1
WH_102229,2,2
WH_102230,1,1
WH_102232,3,2
WH_102233,1,1
WH_102236,3,3
WH_102239,4,4
WH_102244,4,4
WH_102247,4,3
WH_102253,4,4
WH_102269,3,1
WH_102270,4,4
WH_102274,4,4
WH_102278,4,2
WH_102283,1,1
WH_102293,1,1
WH_102297,2,2
WH_102300,3,3
WH_102302,4,4
WH_102305,3,1
WH_102307,1,1
WH_102309,4,4
WH_102310,3,1
WH_102311,1,1
WH_102319,3,3
WH_102320,1,1
WH_102325,1,1
WH_102328,4,3
WH_102338,1,1
WH_102342,3,1
WH_102348,4,4
WH_102349,3,3
WH_102350,1,1
WH_102354,3,3
WH_102355,3,1
WH_102366,1,1
WH_102367,3,1
WH_102370,3,3
WH_102381,3,1
WH_102386,3,1
WH_102389,3,3
WH_102395,3,3
WH_102400,3,3
WH_102401,3,1
WH_102405,1,1
WH_102409,3,3
WH_102411,4,3
WH_102413,3,3
WH_102414,1,1
WH_102416,4,2
WH_102418,1,4
WH_102421,4,4
WH_102424,1,4
WH_102456,4,4
WH_102457,2,2
WH_102460,2,2
WH_102461,3,1
WH_102468,1,1
WH_102472,3,1
WH_102474,4,4
WH_102475,1,1
WH_102491,4,4
WH_102498,4,3
WH_102509,2,1
WH_102513,4,4
WH_102529,3,1
WH_102530,4,1
WH_102539,1,1
WH_102540,1,4
WH_102551,2,2
WH_102552,4,4
WH_102553,1,1
WH_102556,4,4
WH_102562,1,1
WH_102563,4,2
WH_102568,4,3
WH_102569,2,2
WH_102576,3,1
WH_102580,4,4
WH_102582,2,2
WH_102583,4,4
WH_102589,3,4
WH_102590,3,1
